chas,val
mom12m,0.0009651308592462
tang,0.000532546984314
bm_x,0.0002714218320207
bm_ia,0.0001212115145327
dy,0.0001198254712573
roaq,6.370757938650717e-05
indmom,5.389512855308309e-05
ill,5.316242175423813e-05
pctacc,5.150624767963352e-05
depr,3.383354127312055e-05
quick,3.17206536667447e-05
chtx,2.9570369072751124e-05
chatoia,2.2339393224435344e-05
rsup,2.0009438901236187e-05
aeavol,1.855371123710148e-05
turn,1.6727453090892297e-05
pchcurrat,1.3616140189576242e-05
sp,1.210057828365807e-05
ms,1.0686229648670942e-05
divi,6.898107835939804e-06
