chas,val
sgr,0.0304988910653446
bm_x,0.0072381452686723
pchsaleinv,0.0015238568369122
saleinv,0.0011815470050917
zerotrade,0.0005290222695051
salerec,0.000306061942354
pctacc,0.0001994589695946
realestate,0.0001397522586877
mve_ia,0.0001030875504332
egr,8.206034201330148e-05
pchquick,6.850672010383363e-05
mom36m,6.405171758916417e-05
hire,4.816946900076946e-05
pchgm_pchsale,4.20986221225661e-05
lev,3.846125613415907e-05
cfp,3.202506707256081e-05
dp,1.9633528859475117e-05
orgcap,1.945555223303863e-05
cinvest,1.7179651919607686e-05
std_turn,1.47541944054419e-05
